,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
Registering your information in our database let use easier to match the most suitable job for you. Please fill in the following form to get registerd in our database or you may email your information in MS WORD format directly to jobs@swing-hk.com.",1,1,1,1,1,1

224,RGF HR Agent,Machine Learning Engineer - Cantonese Native Speaker (Hong Kong) - IT,"Job Title

Machine Learning Engineer - Cantonese Native Speaker (Hong Kong) - IT

Language level English

Business Level

Industry

Technology/Online

Language level Cantonese

Native

Job Category

Internal IT

Language level Mandarin

Conversational

Salary

HKD20,000 - 30,000

Language level Japanese

Location

Hong Kong Hong Kong Side

Tags

Publish Date

2020/01/10

Job Number

JO-191105-204369",3.7,3.4,3.6,3.5,3.6,3.3

225,Klook Travel,Marketing Analytics Manager,"At Klook, the World is #YoursToExplore - literally. The opportunities are yours for the taking, if youâ€™re brave enough to embark on this journey with us. Our team of diverse Klookers are passionate about travel, collaborating tirelessly across time zones to bring people together through the best experiences. Collectively, we are fearless in our pursuit of success - learning fast and adapting faster to build the future of travel. Up for the challenge? Join us today!

What You Will Do:
Lead company efforts in defining marketing data needs
Coordinate with business units and engineers to develop business analytics frameworks, dashboards and reports
Ensure accuracy of data (e.g. from tags) and work with product/dev teams to manage single version of truth
Develop data models from various sources and channels (e.g. paid search, programmatic inventory, CRM)
Drive analysis to assist local teams in tracking KPIs, deep diving into challenges and quantifying opportunities, data-driven recommendations to measure the impact and efficiency of new products, campaigns and business processes
Write queries and perform ad hoc data analysis
What You Will Need:
Bachelorâ€™s degree in Statistics, Mathematics, Computer Science, Economics, Marketing, or Business Communications
>3-year experience in data analytics and business intelligence
Familiar with data visualization tools and Strong in SQL and/or Python
Deep experience with marketing tags/pixels, clickstream/event/activity management, and web analytics tools
A start-up attitude â€“ highly collaborative with an entrepreneurial, roll-up-your sleeves attitude thatâ€™s not afraid to work independently when required.",4.4,3.8,4.2,4.3,3.9,4.1

226,Clustertech Limited,Computational Scientist (CS-EMPS)(Yearly-renewing Contract),"ClusterTechLimited is committed to providing value to clients through advanced computing technologies including Cloud, High Performance Computing,AI Analytics andBig Data. We provide a comprehensive range of services and products to solve problems in massive data processing, large-scale computing, in-depth analysis, artificial intelligence, and uninterrupted service. Our business areas include financial engineering (investment analysis, risk management, derivatives pricing, etc.), business intelligence (sales forecasting, customer management, inventory management, etc.), environmental science (weather forecast, heavy rain and turbulence forecasting, analysis and prediction of pollution, etc.), smart city (information gathering, information analysis, optimisation and management), and internet applications (massive image processing, video storage and delivery). We also provide public cloud, private cloud and hybrid cloud solutions for businesses of all sizes.
